X,Y,hold,type,texture,orientation,can_match
9,9,J10,crimp,yellow,NE,False
9,7,J8,crimp,yellow,N,False
6,0,G1,crimp,yellow,SE,False
7,5,H6,crimp,yellow,N,False
0,12,A13,crimp,yellow,N,False
1,16,B17,crimp,yellow,N,False
2,2,C3,crimp,yellow,E,False
5,15,F16,crimp,yellow,N,False
2,7,C8,crimp,yellow,N,False
2,4,C5,crimp,yellow,N,False
4,1,E2,crimp,yellow,N,False
9,0,J1,crimp,yellow,SE,False
8,16,I17,crimp,yellow,N,False
1,5,B6,crimp,yellow,N,False
2,1,C2,crimp,yellow,N,False
1,15,B16,crimp,yellow,NW,False
7,3,H4,crimp,yellow,SE,False
2,14,C15,crimp,yellow,NW,False
9,2,J3,crimp,yellow,NE,False
0,8,A9,crimp,yellow,N,False
5,10,F11,crimp,yellow,NE,False
8,13,I14,crimp,yellow,NE,False
10,17,K18,crimp,yellow,N,False
7,1,H2,crimp,yellow,S,False
6,17,G18,crimp,yellow,N,False
3,10,D11,crimp,yellow,NW,False
5,13,F14,crimp,yellow,N,False
5,12,F13,micropinch,yellow,N,False
5,9,F10,crimp,yellow,N,False
2,3,C4,crimp,yellow,N,False
10,4,K5,crimp,yellow,NE,False
10,11,K12,crimp,yellow,N,False
3,0,D1,crimp,yellow,N,False
1,6,B7,crimp,yellow,N,False
10,16,K17,crimp,white,NE,False
6,16,G17,crimp,white,N,False
3,16,D17,crimp,white,N,False
8,11,I12,micropinch,white,N,False
5,3,F4,microjug,white,N,True
10,2,K3,crimp,white,SE,False
0,15,A16,crimp,white,NW,False
9,3,J4,microjug,white,N,True
0,14,A15,crimp,white,N,False
1,1,B2,microjug,white,SW,False
10,0,K1,jug,white,SE,False
4,5,E6,jug,white,N,True
5,1,F2,microjug,white,S,False
6,2,G3,crimp,white,N,False
1,3,B4,crimp,white,SW,False
1,0,B1,crimp,white,S,False
1,13,B14,micropinch,white,N,False
9,6,J7,microjug,white,NE,False
0,2,A3,microjug,white,N,False
8,4,I5,crimp,white,SE,False
7,8,H9,microjug,white,N,True
1,7,B8,pinch,white,NW,True
4,10,E11,pinch,white,NE,True
4,7,E8,microjug,white,N,True
0,10,A11,microjug,white,N,True
0,17,A18,microjug,white,N,True
6,13,G14,microjug,white,N,True
6,5,G6,pinch,white,NW,True
10,14,K15,jug,white,N,True
2,9,C10,microjug,white,N,True
3,8,D9,pinch,white,NW,True
10,12,K13,crimp,white,NE,False
7,0,H1,crimp,white,SE,False
8,7,I8,jug,white,NE,True
5,4,F5,pinch,white,N,True
8,15,I16,sloper,white,NW,True
7,9,H10,jug,white,N,True
2,12,C13,microjug,white,NW,True
7,17,H18,jug,white,N,True
6,6,G7,jug,white,SE,False
7,6,H7,micropinch,wooda,N,False
3,6,D7,micropinch,wooda,N,False
8,17,I18,micropinch,wooda,N,True
2,17,C18,micropinch,wooda,N,True
6,11,G12,sloper,wooda,N,False
4,11,E12,sloper,wooda,N,False
9,14,J15,micropinch,wooda,NE,False
1,14,B15,micropinch,wooda,NW,False
4,14,E15,micropinch,wooda,NW,False
6,14,G15,micropinch,wooda,NE,False
7,12,H13,sloper,wooda,N,False
3,12,D13,sloper,wooda,N,False
1,4,B5,micropinch,wooda,NW,False
9,4,J5,micropinch,wooda,NE,False
4,8,E9,micropinch,wooda,NW,False
6,8,G9,micropinch,wooda,NE,False
2,10,C11,microjug,wooda,N,False
8,10,I11,microjug,wooda,N,False
3,15,D16,microjug,wooda,NW,False
7,15,H16,microjug,wooda,NE,False
1,11,B12,micropinch,wooda,NW,False
9,11,J12,micropinch,wooda,NE,False
0,6,A7,micropinch,wooda,NW,False
10,6,K7,micropinch,wooda,NE,False
4,4,E5,crimp,wooda,N,False
6,4,G5,crimp,wooda,N,False
2,8,C9,micropinch,wooda,NW,False
8,8,I9,micropinch,wooda,NE,False
0,9,A10,micropinch,wooda,NW,False
10,9,K10,micropinch,wooda,NE,False
2,5,C6,microjug,wooda,NW,False
8,5,I6,microjug,wooda,NE,False
3,2,D3,crimp,black,SW,False
2,0,C1,crimp,black,S,False
7,16,H17,micropinch,black,N,False
7,13,H14,crimp,black,N,False
7,14,H15,crimp,black,N,False
10,15,K16,crimp,black,NE,False
10,7,K8,crimp,black,N,False
5,0,F1,crimp,black,S,False
4,13,E14,micropinch,black,NE,False
0,7,A8,crimp,black,NW,False
8,3,I4,micropinch,black,NE,False
0,1,A2,microjug,black,S,False
5,2,F3,crimp,black,SE,False
3,5,D6,crimp,black,N,False
2,16,C17,crimp,black,NW,False
6,15,G16,crimp,black,NW,False
5,6,F7,pinch,black,N,True
3,4,D5,micropinch,black,W,False
6,3,G4,microjug,black,N,True
9,5,J6,pinch,black,N,True
6,9,G10,pinch,black,NE,True
1,8,B9,crimp,black,N,True
6,7,G8,pinch,black,NE,True
10,8,K9,pinch,black,NE,True
3,17,D18,jug,black,N,True
2,6,C7,microjug,black,NW,True
5,11,F12,jug,black,N,True
3,11,D12,pinch,black,NW,True
3,14,D15,microjug,black,NE,True
10,10,K11,microjug,black,N,True
8,1,I2,microjug,black,SE,True
1,9,B10,pinch,black,NW,False
6,12,G13,jug,black,NE,True
7,10,H11,pinch,black,NW,True
1,12,B13,jug,black,N,True
9,12,J13,pinch,black,NE,True
0,4,A5,jug,black,NW,True
5,17,F18,jug,black,N,True
7,2,H3,pocket,black,SE,False
4,3,E4,pocket,black,SW,False
10,13,K14,crimp,red,NE,False
3,13,D14,micropinch,red,N,False
2,11,C12,crimp,red,NW,False
8,0,I1,crimp,red,SE,False
7,7,H8,crimp,red,N,False
4,0,E1,crimp,red,S,False
10,5,K6,crimp,red,N,False
0,3,A4,microjug,red,NW,False
3,1,D2,crimp,red,N,False
10,1,K2,crimp,red,SE,False
6,1,G2,crimp,red,S,False
5,5,F6,microjug,red,NW,False
4,16,E17,sloper,red,N,False
6,10,G11,microjug,red,NW,False
5,14,F15,pinch,red,NE,False
4,2,E3,microjug,red,SW,False
8,2,I3,pocket,red,SE,False
9,1,J2,microjug,red,NE,False
8,14,I15,pocket,red,NE,False
9,8,J9,crimp,red,NE,False
1,17,B18,jug,red,NW,True
3,9,D10,sloper,red,N,True
5,7,F8,microjug,red,N,False
0,13,A14,jug,red,NW,True
9,16,J17,sloper,red,NE,False
0,5,A6,jug,red,NW,True
9,15,J16,microjug,red,N,False
4,9,E10,sloper,red,N,False
2,13,C14,sloper,red,NW,False
8,12,I13,crimp,red,E,False
4,15,E16,sloper,red,N,False
0,16,A17,crimp,red,N,False
5,16,F17,microjug,red,NW,False
0,11,A12,microjug,red,N,False
1,10,B11,crimp,red,NW,False
0,0,A1,crimp,red,SW,False
7,11,H12,crimp,red,N,False
3,7,D8,pinch,red,W,False
4,6,E7,crimp,red,N,False
8,6,I7,microjug,red,N,True
8,9,I10,pinch,red,NE,True
9,13,J14,pinch,red,NE,False
5,8,F9,crimp,red,N,False
3,3,D4,microjug,red,NW,False
7,4,H5,microjug,red,E,False
9,10,J11,microjug,red,NE,False
9,17,J18,jug,red,N,True
2,15,C16,jug,red,NE,True
4,17,E18,sloper,red,N,True
1,2,B3,crimp,red,SW,False
10,3,K4,microjug,red,NE,False
4,12,E13,jug,red,N,True
